currency,directive,O.Country,country,expenseTypeCode,Rate,vatThreshold,comparison,amount,status,reason
EUR,Any,Any,AL,6,20,2,LT,12,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,AL,12,20,2,LT,12,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,AL,20,20,2,LT,12,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,AL,27,20,2,LT,12,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,AL,30,20,2,LT,12,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,AR,20,21,2,LT,11.52,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,AT,5,13,2,LT,17.38,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,AT,6,20,2,LT,12,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,AT,12,20,2,LT,12,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,AT,20,20,2,LT,12,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,AT,22,10,2,LT,22,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,AT,27,20,2,LT,12,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,AT,30,20,2,LT,12,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,AU,4,10,2,LT,22,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,AU,5,10,2,LT,22,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,AU,6,10,2,LT,22,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,AU,12,10,2,LT,22,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,AU,18,10,2,LT,22,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,AU,20,10,2,LT,22,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,AU,21,10,2,LT,22,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,AU,22,10,2,LT,22,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,AU,25,10,2,LT,22,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,AU,27,10,2,LT,22,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,AU,30,10,2,LT,22,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,AU,31,10,2,LT,22,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,AU,34,10,2,LT,22,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,BA,4,17,2,LT,13.76,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,BA,5,17,2,LT,13.76,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,BA,6,17,2,LT,13.76,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,BA,12,17,2,LT,13.76,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,BA,18,17,2,LT,13.76,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,BA,20,17,2,LT,13.76,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,BA,21,17,2,LT,13.76,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,BA,22,17,2,LT,13.76,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,BA,25,17,2,LT,13.76,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,BA,27,17,2,LT,13.76,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,BA,30,17,2,LT,13.76,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,BA,31,17,2,LT,13.76,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,BA,34,17,2,LT,13.76,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,BE,4,6.47,2,LT,32.91,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,BE,5,6,2,LT,35.33,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,BE,6,21,2,LT,11.52,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,BE,12,21,2,LT,11.52,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,BE,18,6.47,2,LT,32.91,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,BE,20,21,2,LT,11.52,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,BE,22,6,2,LT,35.33,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,BE,25,12,2,LT,18.67,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,BE,27,21,2,LT,11.52,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,BE,30,21,2,LT,11.52,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,BE,31,6.47,2,LT,32.91,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,BE,34,6.47,2,LT,32.91,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,BG,5,9,2,LT,24.22,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,BG,6,20,2,LT,12,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,BG,12,20,2,LT,12,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,BG,18,20,2,LT,12,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,BG,20,20,2,LT,12,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,BG,27,20,2,LT,12,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,BG,30,20,2,LT,12,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,BG,31,20,2,LT,12,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CA,4,5,2,LT,42,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CA,5,5,2,LT,42,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CA,6,5,2,LT,42,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CA,12,5,2,LT,42,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CA,18,5,2,LT,42,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CA,20,5,2,LT,42,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CA,21,2.38,2,LT,86.03,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CA,22,5,2,LT,42,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CA,25,2.38,2,LT,86.03,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CA,27,5,2,LT,42,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CA,30,5,2,LT,42,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CA,31,5,2,LT,42,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CA,34,5,2,LT,42,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CH,4,8,2,LT,27,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CH,5,3.8,2,LT,54.63,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CH,6,8,2,LT,27,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CH,18,8,2,LT,27,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CH,20,8,2,LT,27,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CH,21,8,2,LT,27,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CH,22,8,2,LT,27,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CH,25,8,2,LT,27,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CH,27,8,2,LT,27,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CH,30,8,2,LT,27,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CH,31,8,2,LT,27,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CH,34,8,2,LT,27,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CL,4,19,2,LT,12.53,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CL,5,19,2,LT,12.53,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CL,6,19,2,LT,12.53,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CL,12,19,2,LT,12.53,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CL,18,19,2,LT,12.53,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CL,20,19,2,LT,12.53,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CL,21,19,2,LT,12.53,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CL,22,19,2,LT,12.53,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CL,25,19,2,LT,12.53,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CL,27,19,2,LT,12.53,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CL,30,19,2,LT,12.53,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CL,31,19,2,LT,12.53,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CL,34,19,2,LT,12.53,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CN,4,17,2,LT,13.76,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CN,5,6,2,LT,35.33,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CN,6,6,2,LT,35.33,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CN,12,11,2,LT,20.18,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CN,18,17,2,LT,13.76,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CN,20,6,2,LT,35.33,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CN,22,11,2,LT,20.18,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CN,25,6,2,LT,35.33,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CN,27,17,2,LT,13.76,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CN,30,6,2,LT,35.33,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CN,31,11,2,LT,20.18,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CN,34,3,2,LT,68.67,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CO,4,16,2,LT,14.5,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CO,5,16,2,LT,14.5,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CO,6,16,2,LT,14.5,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CO,12,16,2,LT,14.5,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CO,18,16,2,LT,14.5,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CO,20,16,2,LT,14.5,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CO,21,16,2,LT,14.5,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CO,22,16,2,LT,14.5,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CO,25,16,2,LT,14.5,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CO,27,16,2,LT,14.5,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CO,30,16,2,LT,14.5,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CO,31,16,2,LT,14.5,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CO,34,16,2,LT,14.5,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CY,4,19,2,LT,12.53,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CY,5,9,2,LT,24.22,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CY,6,19,2,LT,12.53,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CY,12,19,2,LT,12.53,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CY,18,19,2,LT,12.53,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CY,20,19,2,LT,12.53,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CY,21,19,2,LT,12.53,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CY,22,5,2,LT,42,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CY,25,9,2,LT,24.22,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CY,27,19,2,LT,12.53,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CY,30,19,2,LT,12.53,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CY,31,19,2,LT,12.53,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CZ,4,21,2,LT,11.52,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CZ,5,15,2,LT,15.33,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CZ,6,21,2,LT,11.52,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CZ,12,21,2,LT,11.52,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CZ,18,21,2,LT,11.52,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CZ,20,21,2,LT,11.52,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CZ,22,15,2,LT,15.33,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CZ,25,21,2,LT,11.52,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CZ,27,21,2,LT,11.52,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CZ,30,21,2,LT,11.52,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CZ,31,21,2,LT,11.52,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,CZ,34,21,2,LT,11.52,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,DE,4,19,2,LT,12.53,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,DE,5,7,2,LT,30.57,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,DE,6,19,2,LT,12.53,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,DE,12,19,2,LT,12.53,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,DE,18,19,2,LT,12.53,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,DE,20,19,2,LT,12.53,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,DE,21,19,2,LT,12.53,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,DE,22,7,2,LT,30.57,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
EUR,Any,Any,DE,25,19,2,LT,12.53,Disqualified,VAT_AMOUNT_BELOW_THRESHOLD
