O.Country,country,expenseTypeCode,comparison,amount,currency,Date,directive,status,reason
Any,BE,18,LT,125,EUR,Any,D8,Disqualified,SIMPLIFIED_NON_ELIGIBLE
Any,BE,22,LT,125,EUR,Any,D8,Disqualified,SIMPLIFIED_NON_ELIGIBLE
Any,BE,27,LT,125,EUR,Any,D8,Disqualified,SIMPLIFIED_NON_ELIGIBLE
Any,BE,31,LT,125,EUR,Any,D8,Disqualified,SIMPLIFIED_NON_ELIGIBLE
Any,BE,34,LT,20,EUR,Any,D8,Disqualified,SIMPLIFIED_NON_ELIGIBLE
Any,BG,18,LT,200,BGN,Any,D8,Disqualified,SIMPLIFIED_NON_ELIGIBLE
Any,BG,27,LT,200,BGN,Any,D8,Disqualified,SIMPLIFIED_NON_ELIGIBLE
Any,BG,31,LT,200,BGN,Any,D8,Disqualified,SIMPLIFIED_NON_ELIGIBLE
Any,BG,34,LT,40,BGN,Any,D8,Disqualified,SIMPLIFIED_NON_ELIGIBLE
Any,BG,18,LT,200,BGN,Any,Domestic,Disqualified,SIMPLIFIED_NON_ELIGIBLE
Any,BG,27,LT,200,BGN,Any,Domestic,Disqualified,SIMPLIFIED_NON_ELIGIBLE
Any,BG,31,LT,200,BGN,Any,Domestic,Disqualified,SIMPLIFIED_NON_ELIGIBLE
Any,BG,34,LT,40,BGN,Any,Domestic,Disqualified,SIMPLIFIED_NON_ELIGIBLE
Any,BG,18,LT,200,BGN,Any,VAT Registration,Disqualified,SIMPLIFIED_NON_ELIGIBLE
Any,BG,27,LT,200,BGN,Any,VAT Registration,Disqualified,SIMPLIFIED_NON_ELIGIBLE
Any,BG,31,LT,200,BGN,Any,VAT Registration,Disqualified,SIMPLIFIED_NON_ELIGIBLE
Any,BG,34,LT,40,BGN,Any,VAT Registration,Disqualified,SIMPLIFIED_NON_ELIGIBLE
Any,ES,18,LT,100,EUR,Any,D8,Disqualified,SIMPLIFIED_NON_ELIGIBLE
Any,ES,21,LT,400,EUR,Any,D8,Disqualified,SIMPLIFIED_NON_ELIGIBLE
Any,ES,22,LT,400,EUR,Any,D8,Disqualified,SIMPLIFIED_NON_ELIGIBLE
Any,ES,25,LT,100,EUR,Any,D8,Disqualified,SIMPLIFIED_NON_ELIGIBLE
Any,ES,27,LT,400,EUR,Any,D8,Disqualified,SIMPLIFIED_NON_ELIGIBLE
Any,ES,31,LT,100,EUR,Any,D8,Disqualified,SIMPLIFIED_NON_ELIGIBLE
Any,ES,34,LT,20,EUR,Any,D8,Disqualified,SIMPLIFIED_NON_ELIGIBLE
Any,ES,18,LT,100,EUR,Any,Domestic,Disqualified,SIMPLIFIED_NON_ELIGIBLE
Any,ES,21,LT,400,EUR,Any,Domestic,Disqualified,SIMPLIFIED_NON_ELIGIBLE
Any,ES,22,LT,400,EUR,Any,Domestic,Disqualified,SIMPLIFIED_NON_ELIGIBLE
