O.Country,country,expenseTypeCode,comparison,amount,currency,Date,directive,status,reason
Any,AT,5,GTE,Any,Any,Any,Any,Skip,PARTIAL_ELIGIBLE_VAT_AMOUNT
Any,BE,4,GTE,Any,Any,Any,Any,Skip,PARTIAL_ELIGIBLE_VAT_AMOUNT
Any,BE,5,GTE,Any,Any,Any,Any,Skip,PARTIAL_ELIGIBLE_VAT_AMOUNT
Any,BE,18,GTE,Any,Any,Any,Any,Skip,PARTIAL_ELIGIBLE_VAT_AMOUNT
Any,BE,34,GTE,Any,Any,Any,Any,Skip,PARTIAL_ELIGIBLE_VAT_AMOUNT
Any,BG,5,GTE,Any,Any,Any,Any,Skip,PARTIAL_ELIGIBLE_VAT_AMOUNT
Any,CZ,5,GTE,Any,Any,Any,Any,Skip,PARTIAL_ELIGIBLE_VAT_AMOUNT
Any,DK,5,GTE,Any,Any,Any,Any,Skip,PARTIAL_ELIGIBLE_VAT_AMOUNT
Any,DK,25,GTE,Any,Any,Any,Any,Skip,PARTIAL_ELIGIBLE_VAT_AMOUNT
Any,EE,4,GTE,Any,Any,Any,Any,Skip,PARTIAL_ELIGIBLE_VAT_AMOUNT
Any,EE,5,GTE,Any,Any,Any,Any,Skip,PARTIAL_ELIGIBLE_VAT_AMOUNT
Any,EE,18,GTE,Any,Any,Any,Any,Skip,PARTIAL_ELIGIBLE_VAT_AMOUNT
Any,EE,31,GTE,Any,Any,Any,Any,Skip,PARTIAL_ELIGIBLE_VAT_AMOUNT
Any,ES,4,GTE,Any,Any,Any,Any,Skip,PARTIAL_ELIGIBLE_VAT_AMOUNT
Any,ES,18,GTE,Any,Any,Any,Any,Skip,PARTIAL_ELIGIBLE_VAT_AMOUNT
Any,ES,31,GTE,Any,Any,Any,Any,Skip,PARTIAL_ELIGIBLE_VAT_AMOUNT
Any,ES,34,GTE,Any,Any,Any,Any,Skip,PARTIAL_ELIGIBLE_VAT_AMOUNT
Any,FI,5,GTE,Any,Any,Any,Any,Skip,PARTIAL_ELIGIBLE_VAT_AMOUNT
Any,FR,18,GTE,Any,Any,Any,Any,Skip,PARTIAL_ELIGIBLE_VAT_AMOUNT
Any,HR,5,GTE,Any,Any,Any,Any,Skip,PARTIAL_ELIGIBLE_VAT_AMOUNT
Any,HU,5,GTE,Any,Any,Any,Any,Skip,PARTIAL_ELIGIBLE_VAT_AMOUNT
Any,IS,5,GTE,Any,Any,Any,Any,Skip,PARTIAL_ELIGIBLE_VAT_AMOUNT
Any,IT,4,GTE,Any,Any,Any,Any,Skip,PARTIAL_ELIGIBLE_VAT_AMOUNT
Any,IT,5,GTE,Any,Any,Any,Any,Skip,PARTIAL_ELIGIBLE_VAT_AMOUNT
Any,IT,18,GTE,Any,Any,Any,Any,Skip,PARTIAL_ELIGIBLE_VAT_AMOUNT
Any,IT,34,GTE,Any,Any,Any,Any,Skip,PARTIAL_ELIGIBLE_VAT_AMOUNT
Any,LT,21,GTE,Any,Any,Any,Any,Skip,PARTIAL_ELIGIBLE_VAT_AMOUNT
Any,LV,4,GTE,Any,Any,Any,Any,Skip,PARTIAL_ELIGIBLE_VAT_AMOUNT
Any,LV,5,GTE,Any,Any,Any,Any,Skip,PARTIAL_ELIGIBLE_VAT_AMOUNT
Any,MT,5,GTE,Any,Any,Any,Any,Skip,PARTIAL_ELIGIBLE_VAT_AMOUNT
Any,NL,4,GTE,Any,Any,Any,Any,Skip,PARTIAL_ELIGIBLE_VAT_AMOUNT
Any,NL,5,GTE,Any,Any,Any,Any,Skip,PARTIAL_ELIGIBLE_VAT_AMOUNT
Any,NO,5,GTE,Any,Any,Any,Any,Skip,PARTIAL_ELIGIBLE_VAT_AMOUNT
Any,PL,4,GTE,Any,Any,Any,Any,Skip,PARTIAL_ELIGIBLE_VAT_AMOUNT
Any,PL,18,GTE,Any,Any,Any,Any,Skip,PARTIAL_ELIGIBLE_VAT_AMOUNT
Any,PT,18,GTE,Any,Any,Any,Any,Skip,PARTIAL_ELIGIBLE_VAT_AMOUNT
Any,RO,4,GTE,Any,Any,Any,Any,Skip,PARTIAL_ELIGIBLE_VAT_AMOUNT
Any,RO,18,GTE,Any,Any,Any,Any,Skip,PARTIAL_ELIGIBLE_VAT_AMOUNT
Any,RO,34,GTE,Any,Any,Any,Any,Skip,PARTIAL_ELIGIBLE_VAT_AMOUNT
Any,SE,4,GTE,Any,Any,Any,Any,Skip,PARTIAL_ELIGIBLE_VAT_AMOUNT
Any,SE,5,GTE,Any,Any,Any,Any,Skip,PARTIAL_ELIGIBLE_VAT_AMOUNT
Any,SE,25,GTE,Any,Any,Any,Any,Skip,PARTIAL_ELIGIBLE_VAT_AMOUNT
Any,SE,34,GTE,Any,Any,Any,Any,Skip,PARTIAL_ELIGIBLE_VAT_AMOUNT
Any,SI,22,GTE,Any,Any,Any,Any,Skip,PARTIAL_ELIGIBLE_VAT_AMOUNT
Any,SK,5,GTE,Any,Any,Any,Any,Skip,PARTIAL_ELIGIBLE_VAT_AMOUNT
